GENESIS-Tabelle: 44211-11i
Bruttoanlageninvestitionen - kreisfreie St�dte und Kreise -;;;;;
Jahr;;;;;
Jahreserhebung einschl. Investitionserhebung im Bauhauptgewerbe;;;;;
;;;Aktivierte Bruttoanlageinvestitionen;Aktivierte Bruttoanlageninvestitionen je Besch�ftigten;Verh�ltnis zum Umsatz (Akt. Bruttoanlageninvestitionen)
;;;Tsd. EUR;EUR;Prozent
2022;05;Nordrhein-Westfalen;671743;6695;3,3
2022;051;  D�sseldorf, Regierungsbezirk;127083;5445;2,9
2022;05111;    D�sseldorf, krfr. Stadt;8080;5009;2,9
2022;05112;    Duisburg, krfr. Stadt;6492;4180;3,0
2022;05113;    Essen, krfr. Stadt;11234;3009;1,5
2022;05114;    Krefeld, krfr. Stadt;4807;11205;6,1
2022;05116;    M�nchengladbach, krfr. Stadt;4076;5677;2,8
2022;05117;    M�lheim an der Ruhr, krfr. Stadt;8099;8367;4,2
2022;05119;    Oberhausen, krfr. Stadt;7527;2595;1,6
2022;05120;    Remscheid, krfr. Stadt;1385;3968;2,4
2022;05122;    Solingen, krfr. Stadt;472;2348;1,4
2022;05124;    Wuppertal, krfr. Stadt;1288;2869;1,6
2022;05154;    Kleve, Kreis;10760;5383;2,5
2022;05158;    Mettmann, Kreis;17235;7493;3,5
2022;05162;    Rhein-Kreis Neuss;17013;8662;4,5
2022;05166;    Viersen, Kreis;8646;5476;3,7
2022;05170;    Wesel, Kreis;19968;7734;3,3
2022;053;  K�ln, Regierungsbezirk;189773;7107;3,3
2022;05313;    Aachen, krfr. Stadt;-;-;-
2022;05314;    Bonn, krfr. Stadt;2036;5867;2,1
2022;05315;    K�ln, krfr. Stadt;112361;8041;3,6
2022;05316;    Leverkusen, krfr. Stadt;4392;4875;4,4
2022;05334;    St�dteregion Aachen (einschl. Stadt Aachen);11075;6009;1,7
2022;05354;    Aachen, Kreis;-;-;-
2022;05358;    D�ren, Kreis;9915;6953;3,4
2022;05362;    Rhein-Erft-Kreis;13131;10016;5,0
2022;05366;    Euskirchen, Kreis;9759;10928;7,0
2022;05370;    Heinsberg, Kreis;8518;3906;1,9
2022;05374;    Oberbergischer Kreis;4171;3891;3,7
2022;05378;    Rheinisch-Bergischer Kreis;697;2165;1,4
2022;05382;    Rhein-Sieg-Kreis;13716;5640;3,1
2022;055;  M�nster, Regierungsbezirk;140374;7077;3,4
2022;05512;    Bottrop, krfr. Stadt;4838;2959;1,2
2022;05513;    Gelsenkirchen, krfr. Stadt;2279;3730;2,6
2022;05515;    M�nster, krfr. Stadt;16396;7785;3,5
2022;05554;    Borken, Kreis;55698;9119;3,5
2022;05558;    Coesfeld, Kreis;3976;4133;2,6
2022;05562;    Recklinghausen, Kreis;14218;4398;2,7
2022;05566;    Steinfurt, Kreis;39730;9534;5,2
2022;05570;    Warendorf, Kreis;3240;3198;2,0
2022;057;  Detmold, Regierungsbezirk;76159;7802;3,3
2022;05711;    Bielefeld, krfr. Stadt;6509;5655;2,4
2022;05754;    G�tersloh, Kreis;25138;11611;4,2
2022;05758;    Herford, Kreis;5026;5481;2,6
2022;05762;    H�xter, Kreis;10415;10872;7,8
2022;05766;    Lippe, Kreis;4852;4060;2,1
2022;05770;    Minden-L�bbecke, Kreis;16206;7821;2,4
2022;05774;    Paderborn, Kreis;8014;6146;3,3
2022;059;  Arnsberg, Regierungsbezirk;138353;6683;3,7
2022;05911;    Bochum, krfr. Stadt;4616;5245;3,1
2022;05913;    Dortmund, krfr. Stadt;17704;6036;3,5
2022;05914;    Hagen, krfr. Stadt;3092;8073;6,7
2022;05915;    Hamm, krfr. Stadt;5713;4456;2,7
2022;05916;    Herne, krfr. Stadt;23826;16534;10,9
2022;05954;    Ennepe-Ruhr-Kreis;3994;5814;4,1
2022;05958;    Hochsauerlandkreis;12461;5828;2,9
2022;05962;    M�rkischer Kreis;9134;7728;4,5
2022;05966;    Olpe, Kreis;18356;4781;2,7
2022;05970;    Siegen-Wittgenstein, Kreis;17902;5736;2,8
2022;05974;    Soest, Kreis;10198;6253;3,5
2022;05978;    Unna, Kreis;11358;9593;4,5
2021;05;Nordrhein-Westfalen;697120;7239;4,0
2021;051;  D�sseldorf, Regierungsbezirk;138830;6031;3,5
2021;05111;    D�sseldorf, krfr. Stadt;11942;7335;3,9
2021;05112;    Duisburg, krfr. Stadt;6789;4346;3,4
2021;05113;    Essen, krfr. Stadt;10094;2529;1,3
2021;05114;    Krefeld, krfr. Stadt;1852;4327;3,3
2021;05116;    M�nchengladbach, krfr. Stadt;2766;4080;2,1
2021;05117;    M�lheim an der Ruhr, krfr. Stadt;12559;13741;8,5
2021;05119;    Oberhausen, krfr. Stadt;18533;6556;7,1
2021;05120;    Remscheid, krfr. Stadt;1296;3661;2,3
2021;05122;    Solingen, krfr. Stadt;1102;5710;3,5
